age,gender,shopping_month,item_id
22,male,january,55
23,male,january,17
23,male,january,18
25,female,november,71
25,female,november,68
25,female,november,50
42,male,august,21
39,male,july,22
36,female,march,75
38,female,may,77
45,female,june,82
15,male,april,29
17,male,april,35
14,male,april,28
18,male,may,33
25,male,may,30
23,male,may,31
24,male,may,37
26,male,april,38
40,female,june,46
44,female,july,46
48,female,august,46
25,male,may,58
25,male,may,30
24,female,january,41
25,female,february,42
26,female,march,43
27,female,april,44
28,female,may,45
40,male,february,5
41,male,may,6
42,male,june,7
43,male,june,8
44,male,december,9
45,female,february,1
45,female,july,2
45,female,october,3
45,female,january,4
35,male,october,88
40,female,october,89
45,male,october,90
37,male,october,88
42,female,october,89
47,male,october,90
30,male,october,88
33,female,october,89
36,male,october,90
22,male,january,55
22,male,january,17
22,male,january,18
25,female,november,71
25,female,november,68
25,female,november,50
42,male,august,21
39,male,july,22
36,female,march,75
38,female,may,77
45,female,june,82
15,male,april,29
17,male,april,35
14,male,april,28
18,male,may,33
25,male,may,30
23,male,may,31
24,male,may,37
26,male,april,38
20,female,january,46
28,female,march,46
48,female,august,46
25,male,may,58
25,male,may,30
24,female,january,41
25,female,february,42
26,female,march,43
27,female,april,44
28,female,may,45
40,male,february,5
41,male,may,6
42,male,june,7
43,male,june,8
44,male,december,9
45,female,february,1
45,female,july,2
45,female,october,3
45,female,january,4
35,male,october,88
40,female,october,89
45,male,october,90
37,male,october,88
42,female,october,89
47,male,october,90
30,male,october,88
33,female,october,89
36,male,october,90
25,male,march,54
26,male,april,59
26,male,november,60
35,male,february,54
36,male,july,59
36,male,june,60
20,female,january,66
28,female,march,67
48,female,august,68
40,female,june,2
44,female,july,3
48,female,august,80
20,male,january,7
28,male,march,12
48,male,august,57
40,male,june,58
44,male,july,81
48,male,october,82
28,male,january,13
26,female,may,45
27,female,may,41
28,female,april,42
35,female,may,43
34,female,may,48
36,male,may,36
35,male,may,37
40,male,may,4
45,female,june,5
50,male,january,6
